publication_date;update_date;location;title;vehicles_involved;casualties;injured;reason;sequence_of_actions;district
20211119;NA;NA;2 killed, 8 injured in separate road accidents in Dinajpur;truck;['Two'];[];Speeding and reckless driving led to the road accidents.;1. A speeding truck hit a rickshaw on the Dinajpur-Fhulbari Highway in the Pachbarirhat area of Fulbari upazila. 2. Narayon Chandra Roy died on the spot in the accident. 3. Shasodhor Babu Roy succumbed to his injuries at Dinajpur M Abdur Rahim hospital. 4. Eight people were injured in a head-on collision between a passenger bus and a truck in the Shibkuri area of Amtoli later in the morning. ;Unknown District
20211118;NA;Dhaka;Truck helper killed falling off truck in city;truck;['one'];[];The accident happened due to a fall from the truck while fastening goods with a rope.;1. Akhil was fastening goods with a rope in front of Armanitola Market at Nayabazar. 2. Akhil fell off the truck while performing the task. 3. Akhil suffered severe injuries from the fall. 4. Akhil was declared dead at the emergency department of DMCH.;Dhaka District
20211203;NA;NA;Child dies hit by bus in Rajshahi;;['one'];[];The accident happened because the child was crossing the road alone and was hit by a speeding bus.;1. The child was going to his grandfather's house with his mother. 2. The child was crossing the road by himself. 3. The child was hit by a Dhaka-bound Grameen Travels bus from Chapainawabganj. 4. The child died on the spot after being hit by the bus. ;Unknown District
20211017;NA;Gazipur;2 motorcyclists killed in Gazipur road crash;motorcycle, truck;['Two'];[];Speeding and failure to maintain control of the motorcycle led to the accident.;1. The motorbike crashed into a stationary truck on Rajapur road. 2. Kajol Sardar was killed on the spot. 3. Abul Kalam succumbed to his injuries on the way to the hospital. 4. Both motorcyclists were identified as residents of Sreepur upazila.;Gazipur District
20211029;20211029;Manikganj;"Paturia ferry accident: Rustom to join rescue ops; one more van retrieved";motorcycle, motorcycles, trucks;[];[];The ferry sank due to water gushing in through a crack in its bottom.;1. The ferry Amanat Shah capsized near Paturia's number five ferry terminal. 2. Water gushed in through a crack in the ferry's bottom, causing it to tilt. 3. Four trucks, six vans, and a motorcycle were recovered from the river. 4. Rescue operations were ongoing with the help of multiple vessels. ;Manikganj District
20210928;NA;Patuakhali;1 killed, 7 injured in Patuakhali road accident;;['one'];[];The accident occurred due to the driver losing control of the easy-bike in heavy rain and strong winds.;1. The driver of the easy-bike lost control due to heavy rain and strong winds on Patuakhali-Kuakata highway. 2. The easy-bike fell into a paddy field with passengers in the Yushubpur culvert area of Mahipur. 3. The driver, Ripon Abdullah, died on the spot while the injured passengers were able to leave for their respective destinations after receiving first aid locally. 4. Police recovered the body of the deceased and sent it to Patuakhali Medical College Hospital morgue for autopsy. ;Patuakhali District
20211102;NA;NA;School student killed in Patuakhali bike accident;;['one'];['three'];Head-on collision between two motorbikes led to the accident.;1. Two motorbikes carrying four victims collided head-on at Lebukhali toll point. 2. The victims fell down and sustained severe injuries after the collision. 3. Two injured victims were rushed to Patuakhali Medical College and Hospital. 4. Raiyan, one of the victims, succumbed to his injuries on the way to Barishal Sher-e-Bangla Medical College and Hospital. ;Unknown District
20211101;NA;NA;2 killed as bus overturns in Gazipur;;['one'];[];The accident happened due to the bus driver losing control over the steering.;1. The bus of 'Soukhin Paribahan' from Mymensingh skidded off the road. 2. The bus overturned after its driver lost control over the steering. 3. Two people, including the student Kona, were killed on the spot due to the accident. 4. Kona was on her way to sit for an exam at Bangabandhu Sheikh Mujibur Rahman Agriculture University in Salna. ;Unknown District
20211030;NA;Cumilla;Two killed in Cumilla road crash;microbus;['two', 'two'];['one'];Driver of microbus lost control of the speeding vehicle.;1. Microbus hits lorry from behind 2. Driver of microbus loses control of speeding vehicle 3. Collision between microbus and lorry 4. Two persons died on the spot, one person sustained injuries ;Cumilla District
20211014;NA;NA;Three friends killed in Sunamganj bike crash;;[];[];The accident happened due to a collision between their motorbike and an unknown vehicle.;1. Three young friends were riding a motorbike on Sylhet-Sunamganj Road at Noagaon in Shantiganj upazila of Sunamganj district. 2. An unknown vehicle hit their motorbike, causing them to crash. 3. The victims were taken to a local hospital where they were declared dead. 4. The accident occurred around 10 pm while they were on their way to Sunamganj. ;Unknown District
20211101;20211101;NA;Minor boy killed in city road crash;car, truck;['one'];['one'];The accident occurred due to a collision between a truck and a battery-run rickshaw carrying the family.;1. The family was returning home from a market in a battery-run rickshaw. 2. A sugar-laden truck hit their rickshaw near the US embassy. 3. Four-year-old Rihan was killed, and three family members were injured. 4. The injured family members were taken to Dhaka Medical College and Hospital. ;Unknown District
20211006;NA;Cumilla;Two die as van hits three-wheeler in Cumilla;;['Two'];[];The accident happened because the van driver lost control of the vehicle on the high-speed corridor.;Sequence of actions: 1. The speeding van crashed into a three-wheeler on the Dhaka-Chattogram highway near Suagazi. 2. The three-wheeler driver, Jamil Mia, and pedestrian Fazal Mia were killed on the spot.  Reason:;Cumilla District
20211002;20211002;Gazipur;Ex-DU prof dies as train rams car in Gazipur;car, train;['one'];['one'];The accident occurred due to the car being hit by a train at an unmanned level crossing.;1. The retired Dhaka University professor and his wife were travelling in their car towards Dhaka's Mirpur. 2. The car fell into a roadside ditch after being hit by the Chattogram-bound Subarna Express at an unmanned level crossing. 3. The impact of the collision caused the retired professor to die on the spot. 4. His wife and driver sustained injuries and were rushed to the hospital. ;Gazipur District
20210926;NA;Sylhet;Truck driver, helper killed in Sylhet road crash;truck;['one'];[];Rear-end collision due to stationary truck parked on highway.;1. Truck driver and helper parked their truck roadside. 2. Stone-laden truck from Sylhet hit the stationary truck from behind. 3. Driver and helper were standing on the road. 4. Duo was killed on the spot. ;Unknown District
20210917;NA;Chattogram;Chattogram: 2 fatally knocked down by van;;['one'];[];The accident happened due to the van speeding and hitting the rickshaw puller and pedestrian.;1. The speeding van hit the rickshaw puller. 2. The speeding van then hit the pedestrian. 3. Both victims died on the spot. 4. The driver and his assistant of the van managed to escape after the accident. ;Chattogram District
20210909;20210909;Chattogram;Tourist killed after being hit by train in Sitakundu;train;[];['two'];The accident happened because the youths were trying to get down from a moving train.;1. Mahbub and his friends were trying to get down from the mail train at Sitakundu rail station. 2. The Subarna Express train from Chittagong entered the station at the same time. 3. The Subarna Express train hit Mahbub and his friends. 4. Mahbub was killed on the spot while the others were injured. ;Chattogram District
20210917;20210918;Dhaka;Titas moves to overhaul ageing accident-prone pipelines in Dhaka city;;['one'];[];Age-old and faulty pipelines with leakages leading to deadly explosions and accidents.;1. Massive explosion in Moghbazar in June, killing at least six people suspected to be caused by leakage in Titas gas line. 2. Leakage in Titas pipeline at a mosque in Fatullah led to explosions in six air conditioners, resulting in at least 27 deaths and over a dozen injuries during Friday prayers in 2020. 3. Titas Gas started installing pre-paid meters and found huge leakages in pipelines both at customer and utility ends in recent years. 4. Titas Gas is planning to conduct a techno-economic feasibility study and replace aged pipelines in 60 administrative zones in Dhaka metropolitan city to minimize risks of accidents. ;Dhaka District
20210912;NA;NA;2 siblings killed as train hits auto-rickshaw in B’baria;car, train;['Two'];['one'];The accident occurred due to the auto-rickshaw passing the level crossing while the train was approaching.;1. Train hits CNG-run auto-rickshaw on Talshohor level crossing 2. Pavel killed on the spot, Rubel and Sadek Mia injured 3. Rubel declared dead at local hospital 4. Two siblings killed, father injured in the accident ;Unknown District
20210723;20210723;Bagerhat;7 die in separate accidents in Bagerhat;;['seven', '63'];['one'];The accident happened due to both vehicles defying Covid-induced lockdown restrictions and plying on the roads.;1. A pickup van collided head-on with a battery-operated rickshaw in the Boiltoli area of Fakirhat upazila. 2. Six occupants of the e-rickshaw died on the spot in the impact of the crash. 3. Another severely injured passenger was rushed to a nearby hospital by cops and firefighters. 4. Police identified five of the deceased victims, with one more yet to be identified.  ;Bagerhat District
20210902;NA;NA;3 killed as microbus hits bike in Pabna;microbus;['Three', 'two', '63'];[];Speeding microbus hit the bike at high speed.;1. Three men were killed when a speeding microbus hit their bike on Rooppur IK Road in Pabna district on Wednesday night 2. The accident occurred on Rooppur IK Road in the Joynagar Shimultala area of Ishwardi upazila around 9.30pm. 3. The bus belonged to Rooppur Nuclear Power Plant and it had hit the bike at a high speed. 4. The impact of the collision was such that two of the bikers died on the spot. Another one succumbed to his injuries on the way to a nearby hospital. ;Unknown District
20210923;NA;Naogaon;Two die in Naogaon road crash;;['one'];[];Head-on collision between the bike and the pickup van on the highway.;1. The van coming from Rajshahi crashed into the bike on the highway near Sreerampur.;Naogaon District
20210816;NA;Barguna;Barguna road crash kills two Chinese and their Bangladeshi interpreter;car, microbus;['one', '381'];['4,361'];Fatal road accidents in Bangladesh are common due to rash and unskilled driving.;1. The Chinese officials and their Bangladeshi interpreter were traveling in a microbus on the Amtali-Patuakhali highway at Kewabunia near Brickfield in Barguna. 2. The driver lost control of the microbus on the highway. 3. The microbus plunged into a ditch along the road, resulting in the deaths of the two Chinese officials and their interpreter. 4. The driver of the microbus was seriously injured in the accident. ;Barguna District
20210801;20210801;Dhaka;Traffic police killed in city road crash;microbus;['one'];[];The accident occurred due to the microbus hitting the traffic police constable while he was on duty.;1. Traffic police constable Helal was on duty in front of Shaheed Suhrawardy Medical College and Hospital at Sher-e-Bangla Nagar around 11 am. 2. A microbus hit Helal while he was on duty. 3. Helal was taken to the emergency department of Dhaka Medical College and Hospital, where he was declared dead by a duty doctor. 4. The body of Helal was kept at the hospital morgue for an autopsy. ;Dhaka District
20210622;20210622;Sunamganj;Bus plunges into canal in Sunamganj, one dead, 5 injured;car;['one'];[];The accident happened because the bus driver lost control of the vehicle following a collision with a car while overtaking.;1. Bus driver lost control of the vehicle after collision with a car while overtaking. 2. Bus veered off the road and plunged into a canal. 3. One person died and five others sustained injuries. 4. Passengers of the bus were rescued by police and fire services personnel. ;Sunamganj District
20210619;NA;Bogura;3 killed in Bogura road crash;;['one'];['one'];Head-on collision between the bus and auto-rickshaw led to the accident.;1. A bus collided head-on with a CNG-run auto-rickshaw at Hathibanddha of Shibganj Upazila. 2. Ashraf Ali, Parul Khatun, and their granddaughter Rezwan were killed on the spot. 3. Three others were injured and taken to the hospital. 4. Fatal road accidents are common in Bangladesh. ;Bogura District
20210703;20210703;Tangail;Five, including three women, killed in Tangail road accident;motorcycle, truck;['one', '63'];[];Lack of public transport due to stricter lockdown led the victims to board the ambulance, resulting in the head-on collision with a speeding truck.;1. The victims boarded the ambulance in absence of public transport due to stricter lockdown. 2. The accident occurred around 7.30am when a truck crashed into the ambulance. 3. Three occupants of the ambulance, including the driver, died on the spot. 4. Two of the seven injured occupants were declared dead on arrival at the hospital.;Tangail District
20210717;20210717;Naogaon;Two youths killed in Naogaon road crash;truck;['Two', '63'];[];The accident happened because the truck driver lost control of the vehicle.;1. The truck driver lost control of the vehicle. 2. The truck hit the bike at Saraigachchi intersection. 3. Shahadat Hossain and Shohagh Hossain were killed on the spot. 4. Police took the bodies into custody and sent them to the local hospital morgue. ;Naogaon District
20210406;20210406;Dhaka;Sitalakkhya launch capsize: Death toll rises to 34;car;[];[];The accident happened because the Munshiganj-bound launch capsized after being hit by an oil-laden tanker.;1. Munshiganj-bound launch ML Rabit Al Hasan carrying 50 passengers capsized after being hit by an oil-laden tanker at 6pm on Sunday in Narayanganj. 2. Around 20 passengers managed to swim ashore after the collision. 3. Divers salvage the sunken launch and recovered 21 bodies at noon. 4. Two separate probe bodies were formed to investigate the incident. ;Dhaka District
20210503;NA;NA;Sylhet road crash leaves three dead;truck;['Three'];[];Driver lost control over the vehicle.;1. Truck lost control  2. Truck ploughed through roadside motor workshop 3. Three people were killed 4. Bodies sent for autopsy;Unknown District
20210321;20210321;NA;8 killed in separate road crashes in Faridpur;car, microbus, truck;['one', 'two', '484'];[];Lack of investments in systemic, targeted, and sustained road safety programmes.;1. A truck hit a microbus on Dhaka-Khulna highway at Majhkandi in Madhukhali upazila of Faridpur district. 2. Two people were killed on the spot and 14 others injured. 3. Six people, including a woman and a child, were killed in the accident. 4. The trucker managed to flee the scene. ;Unknown District
20210504;20210504;Madaripur;Speedboat owner among 4 booked over accident in Padma;car;['26'];[];Speedboat collision with a sand-laden bulk carrier led to the accident.;1. Speedboat from Shimulia ferry ghat collided with a sand-laden bulk carrier near Kathalbari ferry ghat in Shibchar. 2. Speedboat capsized in the Padma river. 3. 26 people died in the accident. 4. Four persons, including the speedboat owner and driver, were booked in connection with the accident. ;Madaripur District
20210502;NA;NA;4 of a family among 5 killed in Sylhet road crash;truck;['one', '484'];['one'];Reckless driving.;1. The accident occurred around 6:45 am when the Jaflong-bound stone-laden truck hit the Sylhet-bound CNG- run auto-rickshaw, ;Unknown District
20210330;20210404;Faridpur;Dhaka-Khulna highway turns death trap;car, microbus, truck;['one'];[];Increase in accidents due to speeding, as well as careless and negligent driving.;1. March 21, 2021: Collision between a microbus and a truck at Majhkandi on the Dhaka-Khulna highway, resulting in nine fatalities, including six members of a family. 2. January 6, 2020: Bus rammed a microbus at high speed on the same highway, causing the deaths of six people, including four family members.;Faridpur District
20201208;NA;NA;5 killed in Tangail road crash;truck;['one', '383', '5,227'];['one'];Chronic lack of investment in road safety programs.;1. A truck crashed into a pick-up van on Dhaka-Tangail Highway.  2. Four people in the pick-up van were killed on the spot and three others were injured.  3. The injured were taken to Tangail General Hospital, where the helper of the pick-up van was declared dead.  4. The accident resulted in five people killed and two others injured. ;Unknown District
20201026;20201026;Sirajganj;Jubo League leader killed in Sirajganj road crash;truck;['one'];[];The accident happened due to a collision between the truck and the bike ridden by the Jubo League leader.;1. The local Jubo League leader TM Kamrul Hasan was riding his bike on Hatikumrul-Bonpara highway at Mohishluti in Tarash upazila. 2. A truck collided with Kamrul's bike. 3. The accident resulted in Kamrul being killed on the spot. 4. Police recovered the body of the victim. ;Sirajganj District
20210111;NA;Cumilla;Father, son crushed under train in Cumilla;train;['one'];[];The accident happened because Jishan was running through narrow alleys that branched out from the tracks towards the train.;1. Jishan was running through narrow alleys that branched out from the tracks. 2. Father Mahbubul Haque came forward to save his son as he got close to the train. 3. Mahbubul Haque and his son Jishan got crushed under the wheels of the train.;Cumilla District
20210304;20210304;NA;Nagarkanda mayor hurt, wife & son killed in accident;car, microbus;['one', '484'];['one'];Lack of investments in systemic, targeted, and sustained road safety programs.;1. The state-run passenger bus collided with a microbus carrying the Mayor, his family, and some party colleagues. 2. Sanchita Sarkar, Gourab Sarkar, and Kamal Matubbar died on the spot. 3. Mayor Nimai Chandra Sarkar was seriously injured and airlifted to a military hospital in Dhaka. 4. Nine others were also injured in the crash. ;Unknown District
20201029;NA;Dhaka;Woman killed in city road crash;;[];[];Pedestrian crossing the road was hit by an auto-rickshaw.;1. Asma Begum was crossing the Kuril intersection. 2. Auto-rickshaw hit her while crossing the road. 3. Asma Begum was rescued and taken to the hospital but succumbed to her injuries. 4. The accident resulted in Asma Begum's death. ;Dhaka District
20210223;20210223;NA;5 killed, 23 injured in bus-truck collision in Sirajganj;truck;['five', 'five', '37,170', '484'];[];Road accidents in Bangladesh are one of the leading causes of deaths due to a chronic lack of investment in road safety programs.;1. The Mymensingh-bound bus ferrying passengers from Bogura crashed into the truck coming from the opposite direction this morning. 2. The impact of the collision was such that five people were killed on the spot, while 23 others sustained injuries. 3. Those injured were immediately rushed to 250-bed Bangamata Sheikh Fazilatunnesa Mujib General Hospital. 4. The bodies have been sent to the local hospital morgue for autopsy. ;Unknown District
20201025;20201025;NA;2 killed in Faridpur road crash;microbus, truck;['Two', 'two'];['one'];Collision between microbus and truck led to the accident.;1. Microbus hit a truck on Dhaka-Khulna Highway at Kamarkhali in Madhukhali upazila of Faridpur 2. Mosharraf Hossain, 80, and Amena Begum, 65, were killed on the spot 3. Five others were injured 4. Injured were taken to a local hospital ;Unknown District
20210216;20210216;NEW DELHI;40 die in India bus accident;car;['one'];[];Driver lost control of the speeding vehicle.;Sequence of Actions: 1. Bus was going towards the neighbouring Satna district. 2. Bus broke through the railing of the bridge. 3. Bus fell into the Sharda canal.;Unknown District
20201019;20201019;Islamic University;Worker killed in Kushtia falling from under-construction building;;['one'];[];Lack of safety measures at the construction site.;1. Monirul was working on the fourth floor of the under-construction building of Business Faculty. 2. Monirul fell from the fourth floor of the building. 3. Monirul died on the spot. 4. Police recovered the body. ;Kushtia District
20201003;NA;Dhaka;Callous vehicle knocks restaurant staffer dead on Elephant Rd;;[];[];The accident happened because a vehicle hit Delwar while he was crossing the road.;1. Delwar Hossain was crossing the road near Bata signal. 2. A vehicle hit Delwar while he was crossing the road. 3. The vehicle fled the scene, leaving Delwar dead on the spot. 4. The accident resulted in Delwar's death. ;Dhaka District
20200822;20200822;Mymensingh;Mymensingh road crashes leave 8 dead;car, truck;['one'];[];The accident happened due to reckless driving and improper u-turn maneuver by the bus driver.;1. The bus 'Imam Paribahan' was taking a u-turn on Dhaka-Mymensingh highway in front of Bhaluka Degree College. 2. The bus rammed into a private car, resulting in the deaths of six people on the spot. 3. Two cattle traders were killed as a truck hit another one in Jashora area of Nandail upazila. 4. One of the cattle traders died on the spot, while the other injured died on the way to the hospital. ;Unknown District
20200818;NA;Mymensingh;8 of a family killed in Mymensingh road crash;car, microbus;['8,543'];['14,318'];The accident happened due to the driver losing control over the steering.;Sequence of actions: 1. The microbus carrying 14 passengers skidded off the road. 2. The driver lost control over the steering. 3. The microbus fell into the pond. 4. Eight members of a family were killed.  Reason: ;Unknown District
20200901;NA;Barishal;Minor girl killed in Barishal speedboats collision;;['one'];['three'];4. The reason for the accident was negligence and lack of proper navigation in the river.;1. Collision between two speedboats in the Meghna river.  2. Speedboat hit another on Gourobodi route. 3. 11-year-old girl killed and three others injured.;Unknown District
20200921;NA;Dhaka;Motorcyclist killed in city road crash;truck;['one'];[];The accident happened due to a collision between the truck and the motorcyclist's vehicle.;1. A truck hit the motorcyclist's vehicle in Kajla of Jatrabari area 2. The motorcyclist, Ilius Bhuiyan, was critically injured 3. Ilius Bhuiyan was pronounced dead at the hospital 4. Another motorcyclist was injured in the accident ;Dhaka District
20200929;20200929;Satkhira;2 killed in Satkhira road crash;motorcycle;['Two'];['three'];Collision between the trolley and the motorbike;1. Trolley hit the motorcycle 2. Two motorcyclists killed on the spot 3. Three others injured 4. Bodies recovered by police ;Satkhira District
20200829;20200829;Gopalganj;Gopalganj road crash leaves five dead;;['one'];[];The accident happened due to a collision between a bus and an auto-rickshaw on the highway.;1. A Beanibazar bound bus crashed into the auto-rickshaw. 2. Two people died on the spot. 3. Another person died on the way to the hospital and two more died after admission to Sylhet MAG Osmani Medical College Hospital. 4. Five people were killed in the collision. ;Gopalganj District
20201022;NA;Manikganj;3 killed in Manikganj road crash;;['Three', '37,170'];['one'];Bus driver lost control and the bus fell into a ditch.;1. Bus fell into a roadside ditch in Bakchar area of Singair upazila 2. Three people killed on the spot and 20 others injured 3. The injured were sent to different hospitals 4. Road accidents in Bangladesh continue to be a leading cause of deaths ;Manikganj District
20200919;NA;Mymensingh;Father, son killed in Mymensingh road crash;microbus;['one'];[];Collision between vehicles led to the accident.;1. Collision between pick-up van and microbus on Mymensingh-Kishoreganj highway in Dangri area of Nandail upazila 2. Turan Alam, 5, killed on the spot 3. Fahad Alam, 32, critically injured and later died on the way to hospital 4. 12 other people injured and admitted to nearby medical facilities ;Unknown District
20200806;NA;Dhaka;Motorcyclist killed on Mayor Hanif flyover;motorcycle;['one'];[];The accident happened because a passenger bus hit the motorcycle from behind.;1. Motorcycle heading towards Dhaka from Chattragram was hit by a passenger bus from behind. 2. Arif and pillion rider Raju fell on the ground. 3. The bus ran over them. 4. Raju was pronounced dead at the hospital. ;Dhaka District
20200321;NA;Kushtia;2 killed in Kushtia road crash;;['Two'];[];Accidents happened due to the trolley falling into a roadside ditch while the labourers were going for soil extraction.;1. Some labourers were going for extracting soil for brick field riding on a shallow-engine driven trolley. 2. The trolley fell into a roadside ditch at Nandia intersection. 3. Rashid died on the spot and three others sustained critical injuries. 4. Azizul was pronounced dead at Kushtia General Hospital. ;Kushtia District
20200411;20200411;Dhaka;Fire at Ulon grid substation causes blackout in southern Dhaka  ;;[];[];The accident happened due to a fire breaking out at the grid substation.;1. Fire breaks out at the 132/33 kV grid substation around 4pm 2. Several units of Fire Service and Civil Defence rush to the spot and bring the fire under control at about 4:50pm 3. Electricity supply in the city’s southern areas, including Motijheel, Rampura, Jatrabari, Lalbagh, and Dhanmondi, is severely disrupted  4. Efforts are made to restore electricity supply through alternative means ;Dhaka District
20200808;NA;Chuadanga;Road crash leaves six people dead in Chuadanga;motorcycle;['Six'];[];4. Deputy director of Chuadanga fire service suspects reckless bus driving as the reason for the accident.;1. Meherpur-bound ‘Royal Paribahan’ bus from Chattagram crashed into stationary vehicles 2. Six people were killed on the spot and 10 others injured 3. Police arrested the bus driver and seized the bus;Chuadanga District
20200322;NA;Bhola;Father, son electrocuted in Bhola;;[];[];The accident happened because the elderly man and his son came in touch with a leaked wire while trying to switch an irrigation pump.;Sequence of actions:  1. The elderly man and his son went to switch an irrigation pump. 2. The duo came in touch with a leaked wire. 3. They were rescued by locals and rushed to Upazila Health Complex where doctors pronounced them dead.  Reason: ;Bhola District
20200517;20200517;Bogura;2 killed in Bogura road crash;truck;['Two', '534', 'Two', '534'];['one', 'four', '1,169', 'four', '1,169'];Road crashes are mainly blamed on unskilled drivers, unfit vehicles, and rundown road conditions.;1. The accident took place around 10am when the Dhaka-bound truck hit an auto-rickshaw. 2. The truck hit the auto-rickshaw, leaving Nila dead on the spot and four others injured. 3. The injured were taken to Shaheed Ziaur Rahman Medical College Hospital where Arpita died later. 4. Two women were killed and three others were injured in the accident. ;Bogura District
20200508;20200508;Thakurgaon;2 killed in Thakurgaon road crash;car, truck;['Two', 'Two'];[];The accident happened due to a collision between the truck and the motorbike carrying Shahiduzzaman Sumon and his sister-in-law Suborna.;1. The truck hit the motorbike carrying Shahiduzzaman Sumon and his sister-in-law Suborna. 2. The duo were going to Ranishankoil upazila when the accident occurred. 3. Shahiduzzaman Sumon and Suborna were killed on the spot. 4. Police recovered the bodies and sent them to a local hospital morgue. ;Thakurgaon District
20200405;20200405;Dhaka;Fire at Karwan Bazar banana storehouse;;[];[];The accident happened due to a fire breaking out at the storehouse.;1. Storehouse for bananas catches fire in Karwan Bazar area. 2. Fire breaks out at the storehouse near Janata Tower around 10:37pm. 3. Seven firefighting units rush to the scene and bring the blaze under control by 11:04pm. 4. Firefighters try to determine the cause of the fire.  ;Dhaka District
20200503;NA;Dhaka;211 killed in road crashes in one month despite ‘lockdown’;;['211', 'eight', '211', 'eight'];['227', 'five', '227', 'five'];Lack of public transport services and increased presence of pedestrians and vehicles on roads due to lockdown restrictions led to a higher number of road accidents.;1. Government declared general holidays and suspended mass transport operations to tackle coronavirus outbreak 2. 211 people were killed and 227 others injured in 201 road accidents across the country in the last one month during the lockdown period 3. 14 people were killed and five others injured in 13 road accidents on April 23, the highest number of accidents in one day 4. Eight people were killed and two others injured in eight accidents that occurred on waterways during this period ;Dhaka District
20200711;NA;Cumilla;Couple killed in Cumilla road crash;truck;['one'];[];The accident happened due to a collision between a goods-laden truck and a CNG-run auto rickshaw.;1. A goods-laden truck hit a CNG-run auto rickshaw on Cumilla-Sylhet highway in Kalikapur area in Debidwar upazila.  2. Abu Taher and his wife Zobeda Khatun were killed on the spot.  3. Four other passengers in the auto rickshaw were injured.  4. The injured were admitted to Comilla Medical College Hospital. ;Cumilla District
20200309;20200309;Rangpur;Man killed after being hit by train;train;['one'];[];The accident happened because the man was walking along the rail track and was hit by a passing train.;1. Bimol Chandra Roy was walking along the rail track. 2. A Lalmonirhat bound local train from Parbatipur hit Bimol while he was walking. 3. Bimol died on the spot around 6.20 am. 4. Shyamal Chandra, brother-in-law of the deceased, was detained for arranging funeral without permission. ;Unknown District
20200313;NA;Chandpur;Road crash kills Bangladeshi in Saudi;;['one'];['one'];The accident happened because a speedy lorry hit Md Shamsuddin while he was unloading goods at his business enterprise.;1. Md Shamsuddin was unloading goods at his business enterprise. 2. A speedy lorry hit Shamsuddin. 3. Shamsuddin was rushed to a nearby hospital. 4. Shamsuddin was declared dead by the on-duty doctor. ;Chandpur District
20200320;20200320;Narsingdi;2 killed in Narsingdi road crash;truck;['Two', 'two'];['one'];Collision between the stone-laden truck and the pick-up vehicle led to the accident.;1. Dhaka-bound stone-laden truck from Sylhet hits Narsingdi-bound pick-up. 2. Two people killed on the spot and six others injured. 3. Injured individuals taken to Narsingdi General Hospital. 4. The accident occurred at 6 am in front of Pakija Steel Mill. ;Narsingdi District
20200312;20200312;Chattogram;Roof collapse kills housewife in Chattogram;;['one'];['two'];Poor construction or maintenance of the house led to the roof collapse.;1. The roof of the house collapsed in the morning. 2. Jinia and her two daughters were injured. 3. Jinia died on the way to the hospital. 4. Her two daughters were injured. ;Chattogram District
20200318;20200318;Sylhet;Auto-rickshaw driver killed in Sylhet road crash;;['one'];['one'];Collision between the auto-rickshaw and bus led to the accident.;1. Auto-rickshaw collided with a bus on Sylhet-Bholaganj Highway 2. Auto-rickshaw driver Motin Mia was critically injured 3. Motin Mia was taken to Companiganj Health Complex and declared dead 4. Locals and auto-rickshaw drivers blocked the highway, later withdrawing after assurance from authorities ;Unknown District
20200304;20200304;Gopalganj;"Road crash kills army man; wife and friend survive";motorcycle;['one'];[];The accident occurred due to a head-on collision between a speeding covered van and the motorcycle.;1. Lance Corporal Achintaya Kumar Biswas, his wife Bashona Biswas, and wife’s friend Juthi were riding a motorcycle. 2. A speeding covered van collided head-on with the motorcycle. 3. Lance Corporal Achintaya Kumar Biswas was killed on the spot. 4. His wife and wife’s friend were seriously injured and taken to the hospital. ;Gopalganj District
20200321;20200322;Chattogram;12 killed in Chattogram road crash;truck;['one', '5,227'];[];Negligence and reckless driving leading to a collision between the truck and human-hauler.;1. A truck hit a human-hauler coming from the opposite direction, killing 10 people on the spot and injuring four others. 2. The injured were taken to Padua Health Complex where doctors declared two of the injured dead. 3. 12 passengers of the human hauler were killed after being hit by a truck. 4. Seven more injured were rescued and sent to hospital. ;Chattogram District
20200227;NA;Dhaka;Motorcyclist killed in Sabujbagh road crash;motorcycles;['one'];[];Negligence or recklessness while riding the motorcycles led to a head-on collision.;1. Two motorcycles collided head-on at South Kamalapur in Sabujbagh area. 2. Shagor Ahmed, 30, died on the spot. 3. Khadial Hossain Joy, 20, was injured and is being treated at Dhaka Medical College and Hospital. 4. The body of the deceased will be sent to DMCH morgue for autopsy. ;Dhaka District
20200301;20200301;Netrokona;6 students killed in Netrokona road crash;truck;['one'];[];The accident happened due to a head-on collision between a pickup van and a truck.;1. Forty-five students from two schools were returning home from a trip on two pickups. 2. One of the pickups collided head-on with a truck. 3. Arshadul, Yasin, and Hridoy were killed on the spot. 4. Six students were killed and 20 others were injured in the accident. ;Netrokona District
20200226;NA;Sirajganj;Sirajganj gas fire: one succumbed to his injuries at DMCH;;['one'];['one'];Gas cylinder leakage causing fire in the kitchen.;1. Gas cylinder leakage in kitchen 2. Fire broke out 3. Six family members suffered burns 4. Saidul Islam succumbed to his injuries at DMCH ;Sirajganj District
20200224;20200224;Gazipur;Worker dies in Tongi steel mill accident;;['one'];[];The accident happened because an iron bar fell on the worker while he was working.;1. The worker Abul Hashem was working in the steel factory in Tongi at 5am. 2. An iron bar fell on him while he was working. 3. Abul Hashem was killed on the spot.;Gazipur District
20200228;20200228;Jashore;Two killed in Jashore road crash;truck;['Two'];[];The accident happened due to the brick-laden truck hitting an intellectually disabled woman on the road, leading to a loss of control and subsequent collision with a tree.;1. A brick-laden truck coming from Jashore hit intellectually disabled woman Ful Banu Begum.  2. Ful Banu Begum was killed on the spot. 3. The truck lost control and dashed against a tree, killing the driver Al-Amin. 4. Two people were killed, and four others were injured in the accident. ;Jashore District
